date,weapon,age,gender,state
6/22/2016,vehicle,20,M,AL
6/22/2016,knife,37,M,FL
6/22/2016,gun,44,M,MS
6/22/2016,unarmed,22,M,GA
6/22/2016,gun,31,M,TX
6/23/2016,gun,25,M,WI
6/23/2016,gun,37,M,IL
6/23/2016,gun,29,M,NM
6/24/2016,gun,36,M,NJ
6/24/2016,gun,50,M,AR
6/24/2016,gun,42,F,TX
6/24/2016,gun,42,M,OK
6/24/2016,gun,26,M,FL
6/25/2016,unarmed,19,M,CA
6/25/2016,gun,59,M,FL
6/25/2016,unarmed,36,M,GA
6/25/2016,gun,37,M,AZ
6/26/2016,baseball bat,51,M,MI
6/26/2016,knife,27,M,CT
6/26/2016,gun,22,M,NE
6/26/2016,gun,30,M,IL
6/27/2016,toy weapon,28,M,IA
6/27/2016,toy weapon,63,M,DC
6/27/2016,gun,32,M,GA
6/27/2016,gun,26,M,NM
6/27/2016,toy weapon,25,M,DE
6/28/2016,knife,27,M,CA
6/28/2016,knife,61,M,HI
6/29/2016,undetermined,30,M,KY
6/29/2016,gun,37,M,LA
6/29/2016,gun,37,M,IA
6/29/2016,pitchfork,41,M,WI
6/30/2016,gun,25,M,OH
6/30/2016,gun,24,M,CO
6/30/2016,undetermined,44,M,WY
7/1/2016,gun,63,M,SC
7/1/2016,gun,30,M,GA
7/1/2016,knife,58,M,WI
7/2/2016,gun,35,M,NC
7/2/2016,gun,50,M,TN
7/3/2016,knife,40,M,LA
7/3/2016,vehicle,37,M,NV
7/3/2016,vehicle,19,M,CA
7/4/2016,gun,34,M,SC
7/4/2016,gun,18,M,CA
7/4/2016,gun,21,M,DC
7/4/2016,knife,37,M,TX
7/5/2016,undetermined,37,M,LA
7/5/2016,undetermined,29,M,OR
7/5/2016,undetermined,49,M,CA
7/5/2016,knife,24,F,AZ
7/6/2016,gun,32,M,MN
7/6/2016,gun,65,M,OK
7/7/2016,knife,37,M,CA
7/7/2016,vehicle,33,M,CA
7/7/2016,gun,63,M,AL
7/8/2016,knife,30,M,AZ
7/9/2016,gun,40,M,OK
7/10/2016,gun,38,M,TX
7/11/2016,knife,50,M,CA
7/11/2016,gun,41,M,IL
7/11/2016,gun,41,M,MI
7/11/2016,gun,39,M,NY
7/11/2016,gun,44,M,MI
7/12/2016,hatchet,23,M,AK
7/13/2016,gun,32,M,AZ
7/13/2016,toy weapon,56,M,NY
7/14/2016,gun,33,M,MD
7/15/2016,gun,63,M,NC
7/16/2016,gun,31,M,FL
7/16/2016,gun,26,M,CA
7/16/2016,gun,57,M,NJ
7/17/2016,gun,39,M,WI
7/17/2016,screwdriver,43,M,OK
7/17/2016,gun,42,M,NY
7/17/2016,gun,29,M,LA
7/18/2016,ax,56,M,OK
7/20/2016,knife,31,M,CA
7/21/2016,gun,50,M,IL
7/21/2016,gun,36,M,HI
7/22/2016,gun,50,M,WV
7/23/2016,gun,34,M,TX
7/23/2016,knife,49,M,WI
7/23/2016,gun,31,M,CA
7/24/2016,hatchet and gun,36,M,CA
7/24/2016,knife,29,M,NM
7/25/2016,gun,32,M,IN
7/25/2016,gun,18,M,CA
7/26/2016,gun,50,M,WI
7/26/2016,gun,36,M,NM
7/27/2016,knife,33,M,TN
7/27/2016,gun,17,M,LA
7/27/2016,unarmed,19,M,AZ
7/27/2016,knife,24,M,AZ
7/27/2016,knife,24,M,CA
7/27/2016,knife,20,M,MT
7/28/2016,undetermined,41,M,NV
7/28/2016,undetermined,47,M,CA
7/28/2016,vehicle,18,M,IL
7/28/2016,gun,31,M,AZ
7/28/2016,unarmed,27,M,CA
7/28/2016,undetermined,36,M,CA
7/29/2016,gun,59,M,NC
7/29/2016,gun,40,F,AL
7/31/2016,rock,32,M,KY
7/31/2016,undetermined,38,M,WA
7/31/2016,knife,18,M,NJ
8/1/2016,undetermined,32,M,CA
8/1/2016,gun,23,F,MD
8/1/2016,vehicle,43,M,SC
8/1/2016,gun,67,M,VA
8/2/2016,gun,22,M,SC
8/2/2016,knife,31,M,MN
8/2/2016,gun,43,M,FL
8/2/2016,gun,34,M,ID
8/2/2016,undetermined,51,M,CA
8/3/2016,gun,31,M,UT
8/3/2016,knife,54,M,MI
8/3/2016,gun,69,M,VA
8/5/2016,knife,58,M,VA
8/5/2016,gun,26,M,GA
8/5/2016,crossbow,31,M,CA
8/5/2016,gun,59,M,WI
8/7/2016,knife,25,M,OH
8/7/2016,knife,20,M,PA
8/8/2016,gun,69,M,SC
8/8/2016,knife,57,M,KY
8/8/2016,gun,56,M,CA
8/8/2016,gun,64,M,NC
8/8/2016,undetermined,34,M,KY
8/9/2016,gun,45,M,OH
8/9/2016,gun,14,M,CA
8/9/2016,undetermined,44,M,SC
8/11/2016,gun,54,M,LA
8/11/2016,gun,59,M,WA
8/11/2016,knife,33,M,CA
8/12/2016,undetermined,22,M,AZ
8/12/2016,hammer,49,M,OK
8/13/2016,vehicle,36,M,CA
8/13/2016,gun,23,M,WI
8/13/2016,knife,38,M,AZ
8/13/2016,gun,53,M,CO
8/15/2016,metal pole,29,M,VA
8/15/2016,gun,42,M,TN
8/16/2016,unarmed,25,M,AZ
8/16/2016,gun,18,M,CA
8/16/2016,gun,55,M,WV
8/16/2016,gun,36,M,OH
8/16/2016,gun,32,M,NC
8/16/2016,toy weapon,53,M,AZ
8/16/2016,gun,30,M,CA
8/17/2016,piece of wood,27,M,WA
8/18/2016,gun,37,M,CA
8/18/2016,unarmed,29,M,NC
8/18/2016,knife,40,M,CA
8/18/2016,undetermined,36,M,KS
8/18/2016,gun,38,M,CA
8/18/2016,gun,29,M,NM
8/18/2016,gun,59,M,CA
8/19/2016,bayonet,47,M,CA
8/19/2016,gun,22,M,AZ
8/19/2016,toy weapon,31,M,WI
8/19/2016,undetermined,29,M,NV
8/19/2016,knife,54,M,TN
8/20/2016,knife,71,M,CA
8/21/2016,knife,36,M,NM
8/22/2016,knife,34,M,OH
8/23/2016,gun,49,M,TX
8/24/2016,gun,36,M,TX
8/24/2016,gun,43,M,FL
8/24/2016,gun,53,M,TN
8/25/2016,knife,63,M,CO
8/25/2016,gun,31,M,CA
8/25/2016,undetermined,32,M,CA
8/26/2016,gun,41,M,NV
8/27/2016,toy weapon,26,M,AZ
8/27/2016,knife,49,M,CO
8/27/2016,gun,82,M,WV
8/28/2016,gun,37,M,MN
8/29/2016,gun,24,M,NC
8/29/2016,knife,56,M,CA
8/29/2016,gun,35,F,AZ
8/29/2016,gun,28,M,AK
8/30/2016,chain saw,36,M,WA
8/30/2016,unarmed,22,M,FL
8/30/2016,gun,59,M,TX
8/30/2016,knife,36,M,TX
8/31/2016,gun,21,M,CO
8/31/2016,vehicle,38,M,MO
9/1/2016,vehicle,60,M,OH
9/1/2016,gun,18,M,KS
9/1/2016,gun,23,M,CA
9/1/2016,pipe,37,M,CA
9/2/2016,gun,38,M,NM
9/2/2016,gun,40,M,CO
9/2/2016,glass shard,22,M,IL
9/2/2016,gun,38,M,MO
9/3/2016,undetermined,25,M,NJ
9/3/2016,undetermined,25,M,WA
9/3/2016,gun,36,M,IL
9/3/2016,gun,37,M,TX
9/4/2016,knife,37,M,CA
9/4/2016,knife,44,M,CO
9/5/2016,gun,36,M,TX
9/5/2016,gun,35,M,TX
9/6/2016,vehicle,25,M,NE
9/6/2016,gun,65,M,WV
9/6/2016,undetermined,31,M,AZ
9/6/2016,gun,70,M,TN
9/6/2016,sword,25,M,AZ
9/7/2016,knife,55,M,GA
9/7/2016,undetermined,35,M,FL
9/7/2016,gun,25,M,MI
9/8/2016,gun,32,M,FL
9/8/2016,toy weapon,38,M,CA
9/9/2016,gun,32,M,TN
9/9/2016,unknown weapon,64,M,WA
9/9/2016,knife,55,M,FL
9/10/2016,toy weapon,69,M,WV
9/10/2016,gun,37,M,CO
9/11/2016,motorcycle,31,M,DC
9/12/2016,gun,86,M,CA
9/12/2016,knife,25,M,IA
9/12/2016,undetermined,25,M,CA
9/14/2016,toy weapon,13,M,OH
9/15/2016,gun,32,M,AZ
9/15/2016,gun,34,M,TX
9/15/2016,gun,69,M,FL
9/16/2016,gun,46,M,MO
9/16/2016,unarmed,40,M,OK
9/16/2016,unarmed,29,M,VT
9/16/2016,knife,29,M,KY
9/17/2016,hatchet,42,M,CA
9/17/2016,gun,25,M,PA
9/17/2016,toy weapon,45,M,AL
9/17/2016,gun,55,M,NC
9/17/2016,knife,22,M,MN
9/18/2016,gun,61,M,OH
9/19/2016,gun,46,F,TX
9/19/2016,unknown weapon,30,M,UT
9/19/2016,gun,56,M,TX
9/20/2016,gun,35,M,TN
9/20/2016,gun,22,M,FL
9/20/2016,unknown weapon,23,M,CT
9/20/2016,gun,43,M,NC
9/20/2016,gun,43,M,TN
9/20/2016,gun,49,M,CO
9/21/2016,unarmed,23,M,NE
9/23/2016,undetermined,41,M,CA
9/23/2016,vehicle,33,M,MD
9/23/2016,gun,30,M,TX
9/25/2016,gun,25,M,NH
9/26/2016,gun,52,M,ID
9/26/2016,gun,32,M,AR
9/26/2016,gun,46,M,TX
9/26/2016,gun,48,M,MN
9/27/2016,unarmed,38,M,CA
9/27/2016,vehicle,26,M,AZ
9/28/2016,undetermined,32,M,PA
9/28/2016,knife,28,M,GA
9/29/2016,gun,53,M,AZ
9/30/2016,undetermined,38,M,TX
9/30/2016,undetermined,18,M,NJ
9/30/2016,gun,32,M,SC
9/30/2016,gun,37,M,MI
9/30/2016,undetermined,18,M,NJ
9/30/2016,gun,20,M,OH
10/1/2016,gun,28,M,WV
10/1/2016,gun,18,M,CA
10/2/2016,toy weapon,16,M,CA
10/2/2016,unknown weapon,36,M,IL
10/3/2016,gun,57,M,MA
10/3/2016,gun,49,M,NJ
10/4/2016,brick,31,M,FL
10/4/2016,gun,26,M,AR
10/4/2016,gun,51,M,MI
10/5/2016,machete,28,M,CO
10/5/2016,gun,35,M,SC
10/7/2016,undetermined,57,M,GA
10/7/2016,knife,36,M,IN
10/7/2016,gun,42,M,AL
10/7/2016,gun,37,M,LA
10/7/2016,toy weapon,49,M,AR
10/8/2016,knife,62,M,IN
10/8/2016,knife,21,M,WA
10/8/2016,vehicle,39,M,OK
10/8/2016,knife,53,F,CA
10/9/2016,gun,41,M,NY
10/9/2016,gun,40,M,AZ
10/10/2016,gun,50,M,NC
10/10/2016,undetermined,27,M,CA
10/10/2016,gun,19,M,TX
10/10/2016,vehicle,26,M,OH
10/11/2016,knife,44,M,WA
10/11/2016,knife,30,M,CA
10/12/2016,gun,31,M,LA
10/12/2016,gun,33,M,MA
10/12/2016,gun,22,M,KY
10/13/2016,gun,50,M,NV
10/13/2016,knife,46,M,OR
10/13/2016,gun,38,M,WA
10/14/2016,baseball bat,23,M,TX
10/14/2016,gun,24,M,TX
10/14/2016,gun,26,M,CA
10/15/2016,gun,38,M,AL
10/16/2016,toy weapon,26,F,TX
10/16/2016,metal rake,32,M,CA
10/17/2016,sword,50,M,FL
10/17/2016,gun,17,M,AR
10/17/2016,knife,39,M,FL
10/18/2016,gun,28,M,MI
10/18/2016,baseball bat,66,F,NY
10/18/2016,gun,42,M,OK
10/18/2016,gun,34,M,KY
10/19/2016,vehicle,38,M,OH
10/19/2016,gun,24,M,TX
10/19/2016,undetermined,28,M,NV
10/20/2016,gun,29,M,FL
10/21/2016,knife,58,M,OK
10/21/2016,gun,23,F,WA
10/22/2016,unknown weapon,21,M,AL
10/23/2016,toy weapon,45,M,MN
10/23/2016,gun,38,M,KY
10/23/2016,gun,40,M,CO
